Movie Name,Genre,Duration,Rating,Vote Counts
Kraven the Hunter,Action,2h 7m,5.4,45K
Gladiator II,Action,2h 28m,6.6,216K
Sonic the Hedgehog 3,Action,1h 50m,6.9,52K
Venom: The Last Dance,Action,1h 50m,6.0,107K
Dune: Part Two,Action,2h 46m,8.5,613K
Pushpa: The Rule - Part 2,Action,3h 21m,6.1,54K
William Tell,Action,2h 13m,5.8,N/A
Elevation,Action,1h 31m,5.6,20K
The Lord of the Rings: The War of the Rohirrim,Action,2h 14m,6.3,28K
The Ministry of Ungentlemanly Warfare,Action,2h 2m,6.8,132K
Furiosa: A Mad Max Saga,Action,2h 28m,7.5,280K
Deadpool & Wolverine,Action,2h 8m,7.6,480K
Borderlands,Action,1h 41m,4.7,45K
Hellboy: The Crooked Man,Action,1h 39m,4.5,12K
Twisters,Action,2h 2m,6.5,160K
Civil War,Action,1h 49m,7.0,232K
Old Guy,Action,1h 34m,5.1,N/A
The Count of Monte-Cristo,Action,2h 58m,7.6,32K
The Beekeeper,Action,1h 45m,6.3,153K
Carry-On,Action,1h 59m,6.5,160K
Marco,Action,2h 25m,6.9,20K
The Fall Guy,Action,2h 6m,6.8,216K
Rebel Ridge,Action,2h 11m,6.8,86K
Homestead,Action,1h 52m,5.4,N/A
The Crow,Action,1h 51m,4.7,32K
Thelma,Action,1h 38m,7.0,21K
Kingdom of the Planet of the Apes,Action,2h 25m,6.9,149K
Road House,Action,2h 1m,6.2,166K
Red One,Action,2h 3m,6.3,137K
Transformers One,Action,1h 44m,7.6,47K
Solo Leveling: ReAwakening,Action,2h 1m,8.7,N/A
Bad Boys: Ride or Die,Action,1h 55m,6.5,98K
Love Lies Bleeding,Action,1h 44m,6.6,56K
Damsel,Action,1h 50m,6.1,108K
Land of Bad,Action,1h 53m,6.6,50K
The Killer's Game,Action,1h 44m,5.7,16K
Argylle,Action,2h 19m,5.6,91K
Madame Web,Action,1h 56m,4.0,99K
Godzilla x Kong: The New Empire,Action,1h 55m,6.1,119K
Dirty Angels,Action,1h 44m,4.3,N/A
The Union,Action,1h 47m,5.4,52K
Monkey Man,Action,2h 1m,6.8,90K
Aftermath,Action,1h 37m,N/A,N/A
Azrael,Action,1h 26m,5.4,10K
Freaky Tales,Action,1h 46m,6.4,369
Attack on Titan the Movie: The Last Attack,Action,2h 25m,9.3,14K
Drive-Away Dolls,Action,1h 24m,5.4,23K
Werewolves,Action,1h 33m,4.4,6K
Uglies,Action,1h 40m,4.7,32K
Kung Fu Panda 4,Action,1h 34m,6.3,67K
Absolution,Action,1h 52m,5.2,N/A
Arcadian,Action,1h 32m,5.5,22K
Blitz,Action,2h,6.2,16K
The Instigators,Action,1h 41m,6.2,37K
Lift,Action,1h 47m,5.5,49K
Beverly Hills Cop: Axel F,Action,1h 58m,6.4,80K
The Killer,Action,2h 6m,5.7,12K
Hitpig,Action,1h 26m,5.1,832
Apocalypse Z: The Beginning of the End,Action,1h 57m,6.1,19K
The Silent Hour,Action,1h 39m,6.1,7K
Maharaja,Action,2h 21m,8.4,65K
Classified,Action,1h 45m,3.6,N/A
Kalki 2898 AD,Action,3h,N/A,N/A
Descendants: The Rise of Red,Action,1h 31m,4.7,N/A
Brothers,Action,1h 29m,5.4,13K
Atlas,Action,1h 58m,5.6,55K
Canary Black,Action,1h 41m,5.4,11K
Baby John,Action,2h 39m,5.4,17K
Survive,Action,1h 30m,4.6,N/A
Long Gone Heroes,Action,1h 41m,5.2,971
Weekend in Taipei,Action,1h 40m,5.7,N/A
Watchmen: Chapter I,Action,1h 23m,7.0,N/A
Rebel Moon - Part Two: The Scargiver,Action,2h 2m,5.3,59K
Gunner,Action,1h 46m,3.2,N/A
Hagen,Action,2h 19m,6.1,1K
Jackpot!,Action,1h 46m,5.8,30K
