Movie Name,Genre,Duration,Rating,Vote Counts
Moana 2,Animation,1h 40m,6.7,88K
Flow,Animation,1h 25m,7.9,59K
The Wild Robot,Animation,1h 42m,8.2,152K
Mufasa: The Lion King,Animation,1h 58m,6.6,47K
The Lord of the Rings: The War of the Rohirrim,Animation,2h 14m,6.3,28K
The Day the Earth Blew Up: A Looney Tunes Movie,Animation,1h 31m,7.0,2K
Night of the Zoopocalypse,Animation,1h 31m,6.3,327
Despicable Me 4,Animation,1h 34m,6.2,62K
Inside Out 2,Animation,1h 36m,7.5,211K
Transformers One,Animation,1h 44m,7.6,47K
Memoir of a Snail,Animation,1h 35m,7.8,15K
Solo Leveling: ReAwakening,Animation,2h 1m,8.7,N/A
IF,Animation,1h 44m,6.4,57K
Spermageddon,Animation,1h 20m,5.7,607
Wallace & Gromit: Vengeance Most Fowl,Animation,1h 22m,7.5,33K
Harold and the Purple Crayon,Animation,1h 30m,5.7,N/A
Attack on Titan the Movie: The Last Attack,Animation,2h 25m,9.3,14K
Kung Fu Panda 4,Animation,1h 34m,6.3,67K
The Garfield Movie,Animation,1h 41m,5.7,24K
Hitpig,Animation,1h 26m,5.1,832
Watchmen: Chapter I,Animation,1h 23m,7.0,N/A
Spellbound,Animation,1h 49m,5.7,N/A
Look Back,Animation,58m,7.8,14K
Grand Theft Hamlet,Animation,1h 29m,6.9,N/A
Saving Bikini Bottom: The Sandy Cheeks Movie,Animation,1h 22m,3.7,N/A
Piece by Piece,Animation,1h 33m,6.9,N/A
Watchmen: Chapter II,Animation,1h 30m,7.0,N/A
Megamind vs. The Doom Syndicate,Animation,1h 23m,2.5,N/A
The Remarkable Life of Ibelin,Animation,1h 43m,8.2,12K
Orion and the Dark,Animation,1h 33m,6.3,17K
A Sloth Story,Animation,1h 30m,5.7,178
My Hero Academia: You're Next,Animation,1h 50m,7.0,N/A
Justice League: Crisis on Infinite Earths - Part One,Animation,1h 33m,6.2,N/A
The Most Precious of Cargoes,Animation,1h 21m,7.1,720
That Christmas,Animation,1h 31m,6.8,17K
Thelma the Unicorn,Animation,1h 33m,5.7,N/A
Justice League: Crisis on Infinite Earths - Part Three,Animation,1h 34m,6.1,N/A
The Tiger's Apprentice,Animation,1h 24m,5.7,N/A
The Lost Tiger,Animation,1h 30m,7.8,34
200% Wolf,Animation,1h 38m,6.0,N/A
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Animation,1h 44m,7.1,N/A
Ultraman: Rising,Animation,1h 57m,6.9,N/A
10 Lives,Animation,1h 28m,5.9,N/A
Doraemon the Movie: Nobita's Earth Symphony,Animation,1h 55m,6.6,N/A
Frida,Animation,1h 27m,7.5,N/A
Woody Woodpecker Goes to Camp,Animation,1h 40m,4.5,N/A
Mars,Animation,1h 24m,8.9,19
Dan Da Dan: First Encounter,Animation,1h 23m,8.2,N/A
Justice League: Crisis on Infinite Earths - Part Two,Animation,1h 34m,5.5,N/A
Buffalo Kids,Animation,1h 33m,6.6,635
Dragonkeeper,Animation,1h 38m,5.7,N/A
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',Animation,1h 30m,8.7,985
Crayon Shin-chan: Ora's Dinosaur Diary,Animation,1h 46m,6.5,311
My Freaky Family,Animation,1h 26m,6.4,388
Limonov: The Ballad of Eddie,Animation,2h 18m,6.0,733
The Glassworker,Animation,1h 38m,7.5,N/A
The Colors Within,Animation,1h 41m,7.2,812
Johnny Puff: Secret Mission,Animation,1h 27m,4.8,433
Ghost Cat Anzu,Animation,1h 37m,6.5,703
From Ground Zero,Animation,1h 52m,7.9,494
Storm Crashers,Animation,1h 28m,6.3,551
Dalia y el Libro Rojo,Animation,1h 47m,6.7,50
Overlord: The Sacred Kingdom,Animation,2h 15m,7.0,700
Rebellious,Animation,1h 34m,6.0,160
Savages,Animation,1h 27m,7.0,269
Haikyu!! The Dumpster Battle,Animation,1h 25m,7.7,6K
The Night Before Christmas in Wonderland,Animation,1h 20m,6.3,509
Mononoke the Movie: The Phantom in the Rain,Animation,1h 29m,6.8,N/A
Lesbian Space Princess,Animation,1h 27m,8.1,96
Blue Lock: Episode Nagi,Animation,1h 31m,6.6,N/A
Super-Charlie,Animation,1h 20m,6.3,104
Ryan's World the Movie: Titan Universe Adventure,Animation,1h 20m,1.8,644
My Oni Girl,Animation,1h 52m,6.0,N/A
Kid Santa,Animation,N/A,N/A,N/A
Shrek 5: The Contract - A Fan Made Film,Animation,1h 24m,7.0,18
White Snake: Afloat,Animation,2h 13m,6.9,430
Fox & Hare Save the Forest,Animation,1h 11m,N/A,N/A
Noah's Ark,Animation,1h 36m,4.3,624
No Time to Spy: A Loud House Movie,Animation,1h 21m,6.4,435
The Quintessential Quintuplets Specials 2,Animation,46m,7.1,112
Panda Bear in Africa,Animation,1h 24m,5.5,308
Boys Go to Jupiter,Animation,1h 30m,6.9,88
Xiong Shi Shao Nian 2,Animation,2h 14m,7.5,186
Mobile Suit Gundam SEED Freedom,Animation,2h 4m,6.6,924
Given 3: To the Sea,Animation,1h 20m,8.0,9
Baki Hanma VS Kengan Ashura,Animation,1h 2m,5.7,N/A
Uma Musume: Pretty Derby - Beginning of a New Era,Animation,1h 48m,7.4,109
Zak & Wowo: The Legend of Lendarys,Animation,1h 25m,5.7,86
Detective Conan: The Million-Dollar Pentagram,Animation,1h 51m,6.8,N/A
Exorcism Chronicles: The Beginning,Animation,1h 25m,7.0,66
Rafadan Tayfa: Kapadokya,Animation,1h 24m,6.7,110
Gracie and Pedro: Pets to the Rescue,Animation,1h 27m,5.1,259
SuperKlaus,Animation,1h 28m,4.3,191
Schirkoa: In Lies We Trust,Animation,1h 43m,5.6,153
The Casagrandes Movie,Animation,1h 29m,5.6,652
Heartsping : Teenieping of Love,Animation,N/A,6.9,21
Diplodocus,Animation,1h 30m,6.4,159
Jon Vardar protiv Galaksijata,Animation,1h 26m,8.9,60
The Big Trip 3: Race Around the World,Animation,1h 25m,5.7,50
Big City Greens the Movie: Spacecation,Animation,N/A,6.2,530
"Maya, donne-moi un titre",Animation,1h 1m,6.4,47
DreadClub: Vampire's Verdict,Animation,N/A,5.2,55
Little Emma,Animation,1h 46m,5.7,102
Elli and the Ghostly Ghost Train,Animation,1h 26m,5.0,89
Mariposas Negras,Animation,1h 23m,7.0,46
Bocchi the Rock! Re:,Animation,1h 30m,7.5,142
Sabbath Queen,Animation,1h 45m,8.0,59
Out of the Nest,Animation,1h 24m,7.5,102
Fureru,Animation,1h 47m,6.4,23
Peppa's Cinema Party,Animation,1h 5m,N/A,N/A
Dead Dead Demon's Dededede Destruction,Animation,2h,7.0,137
Cille 2069,Animation,N/A,7.1,90
Movie Given Hiiragi Mix.,Animation,1h 10m,7.4,136
Living Large,Animation,1h 20m,7.8,100
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Animation,55m,N/A,N/A
Isla Monstro,Animation,N/A,N/A,N/A
Captain Avispa,Animation,1h 36m,N/A,N/A
Taisu Xilie,Animation,1h 40m,N/A,N/A
Nie Xiaoqian,Animation,1h 52m,6.4,15
Kvitebjørn,Animation,1h 25m,5.9,51
"Die Heinzels: Neue Mützen, Neue Mission",Animation,1h 16m,6.4,70
Dragon Ball Z Kai,Animation,1h 22m,8.4,65
Kizumonogatari: Koyomi Vamp,Animation,2h 24m,6.9,79
Slocum et moi,Animation,1h 15m,7.4,64
Dongeng Sang Kancil,Animation,1h 39m,8.2,80
Hola Frida,Animation,1h 22m,7.3,21
Angelo dans la forêt mystérieuse,Animation,1h 21m,6.0,106
The Storm,Animation,1h 42m,6.1,135
Il segreto di Liberato,Animation,1h 30m,7.3,210
Luntik. Vozvrashchenie domoy,Animation,N/A,6.4,73
Bocchi the Rock! Re: Re:,Animation,1h 17m,7.9,87
Sanatorium Under the Sign of the Hourglass,Animation,1h 15m,5.3,90
Monkey King: The Beginning,Animation,N/A,N/A,N/A
"Robotia, the Movie",Animation,1h 26m,8.1,20
PAPmusic - Animation for Fashion,Animation,1h 25m,1.0,125
Niko: Beyond the Northern Lights,Animation,1h 26m,6.3,300
Yumi's Cells: The Movie,Animation,1h 33m,6.2,48
Rock Bottom,Animation,1h 26m,7.0,39
Adventures of Mickey Sherlock Mouse & Winnie the Pooh,Animation,N/A,4.7,9
Quo Vadis,Animation,1h 30m,6.7,330
The Proud Princess,Animation,1h 24m,7.1,98
Tri kota. Zimnie kanikuly,Animation,1h 5m,6.1,27
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Animation,1h 11m,7.0,26
Teacher's Pet,Animation,N/A,5.5,34
Fuuto PI: Portrait of Kamen Rider Skull,Animation,1h 22m,7.5,30
Rocky and Bullwinkle,Animation,1h 40m,9.7,11
Si Juki the Movie: Harta Pulau Monyet,Animation,1h 47m,6.0,114
Into the Mortal World,Animation,1h 58m,6.8,137
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Animation,1h 30m,6.8,14
TWST: Things We Said Today,Animation,1h 26m,6.9,43
Transformers: 40th Anniversary Event,Animation,1h 36m,7.2,28
Nature Cat's Nature Movie Special Extraordinaire,Animation,N/A,7.2,17
The Summer of Mermaid,Animation,N/A,9.1,95
Transformers Prime: Galavatron's Revenge,Animation,1h 44m,N/A,N/A
Goldbeak,Animation,1h 34m,4.9,126
"Silex and the City, le film",Animation,1h 17m,4.9,47
Askepote,Animation,1h 12m,3.5,80
Appu,Animation,1h 32m,8.6,181
Masha i Medved v kino: Park chudes,Animation,58m,7.0,16
Steal the Naughty List,Animation,1h 30m,6.7,113
Rocket Club: Across the Cosmos,Animation,1h 8m,8.2,18
Mustafa,Animation,1h 15m,6.9,73
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,Animation,1h 10m,7.4,71
The Worlds Divide,Animation,2h,8.0,36
Norbert,Animation,1h 15m,6.7,10
(S)KiDS,Animation,1h 25m,N/A,N/A
Ganbatte Ikimasshoi,Animation,N/A,4.9,9
Maxxie LaWow: Drag Super-shero,Animation,1h 54m,8.9,54
Flavors of Iraq,Animation,1h 35m,8.1,36
Where the Robots Grow,Animation,N/A,2.6,506
The Cheshire Cat,Animation,1h 4m,N/A,N/A
Mochi-chon,Animation,N/A,8.7,7
Benjamin Bat,Animation,1h 15m,8.1,28
Double Tuckerr,Animation,2h,5.0,N/A
Olivia & the Clouds,Animation,1h 21m,7.2,44
Trapezium,Animation,1h 42m,6.4,133
Dinosaur Empire,Animation,N/A,N/A,N/A
Pui Pui Molcar the Movie: Molmax,Animation,1h 9m,7.0,7
Boonie Bears: Time Twist,Animation,1h 45m,6.0,162
Dikkie Dik en de Verdwenen Knuffel,Animation,1h 2m,7.2,125
Kuramerukagari,Animation,1h 1m,5.8,79
Dead Dead Demon's Dededede Destruction Zenpen,Animation,2h,7.0,137
The Greatest Surf Movie in the Universe,Animation,1h 21m,5.4,8
Happy Little Submarine: 80 Days Around the Earth,Animation,1h 20m,N/A,N/A
Meitantei Conan Bâsasu Kaitô Kiddo,Animation,1h 21m,6.2,152
Hello My Beautiful Creatures,Animation,2h 22m,6.8,169
Max Beyond,Animation,1h 33m,6.6,17
Inazuma Eleven Movie: The Legendary Kickoff,Animation,N/A,N/A,N/A
Animal Tales of Christmas Magic,Animation,1h 12m,6.8,50
A Few Moments of Cheers,Animation,1h 8m,7.4,24
Spider-Man: Blue,Animation,N/A,5.9,11
The Umbrella Fairy,Animation,1h 35m,5.5,48
COPS VS WHORES,Animation,57m,N/A,N/A
Kral Sakir: Devler Uyandi,Animation,N/A,5.4,64
Apocalypse Love,Animation,N/A,N/A,N/A
Return,Animation,1h 30m,N/A,N/A
Sunburnt Unicorn,Animation,1h 21m,7.4,9
Life with Quincy 3,Animation,1h 13m,N/A,N/A
Motu Patlu & The Race to the Diamond Valley,Animation,1h 12m,7.8,27
Tay 2: Ebabil Takimi,Animation,1h 18m,5.5,35
Mobile Suit Gundam: Silver Phantom,Animation,1h 30m,6.1,13
Code Geass: Rozé of the Recapture - Part 1,Animation,1h 14m,7.9,39
Formula vody,Animation,1h 26m,4.3,27
Nothing Unusual,Animation,1h 32m,9.7,12
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,Animation,59m,6.6,8
Riki Rhino: The Bird Kingdom,Animation,1h 49m,5.0,22
Uma & Haggen: Mitos,Animation,1h 34m,7.4,44
Motu Patlu & The Rise of Zombies,Animation,1h 14m,6.6,15
The Taaes2008 Movie,Animation,N/A,N/A,N/A
Lilla spöket Laban spökar igen,Animation,44m,6.1,23
The Puffins & the Magic Portal,Animation,N/A,7.6,30
Tobias and the Arcane Merchant,Animation,2h 47m,9.0,42
Inanimate Insanity II: The Movie,Animation,1h 46m,N/A,N/A
Peppa Pig: Peppa's Adventures Around the World,Animation,N/A,N/A,N/A
Tri bogatyrya. Ni dnya bez podviga,Animation,1h 1m,5.7,62
Zegapain STA,Animation,1h 30m,N/A,N/A
Bloody Escape,Animation,1h 40m,6.1,25
Piril: Sayilarin Gizemi,Animation,N/A,9.0,66
Luv You Shankar,Animation,2h,5.8,43
