Movie Name,Genre,Duration,Rating,Vote Counts
Anora,Romance,2h 19m,7.6,152K
Wicked,Romance,2h 40m,7.5,141K
Babygirl,Romance,1h 54m,6.0,47K
It Ends with Us,Romance,2h 10m,6.4,81K
We Live in Time,Romance,1h 48m,7.0,48K
The Count of Monte-Cristo,Romance,2h 58m,7.6,32K
Queer,Romance,2h 17m,6.5,18K
The Fall Guy,Romance,2h 6m,6.8,216K
F*** Marry Kill,Romance,1h 37m,5.2,N/A
The Crow,Romance,1h 51m,4.7,32K
Fly Me to the Moon,Romance,2h 12m,6.6,48K
Love Lies Bleeding,Romance,1h 44m,6.6,56K
My Old Ass,Romance,1h 29m,6.9,37K
The Idea of You,Romance,1h 55m,6.3,72K
All We Imagine as Light,Romance,1h 58m,7.1,N/A
A Family Affair,Romance,1h 51m,5.3,36K
Sidelined: The QB and Me,Romance,1h 39m,5.9,N/A
Culpa Tuya,Romance,1h 58m,5.2,13K
Beating Hearts,Romance,2h 46m,7.0,N/A
Your Monster,Romance,1h 43m,6.4,N/A
Jane Austen Wrecked My Life,Romance,1h 34m,6.5,151
Killer Heat,Romance,1h 35m,5.6,13K
Guilty Pleasure,Romance,1h 59m,5.6,76
Emmanuelle,Romance,1h 47m,4.2,N/A
Loveable,Romance,1h 41m,8.1,N/A
Young Woman and the Sea,Romance,2h 9m,7.5,17K
Lonely Planet,Romance,1h 34m,5.7,11K
A Nice Indian Boy,Romance,1h 36m,7.2,149
Grafted,Romance,1h 36m,5.6,2K
Find Me Falling,Romance,1h 33m,6.3,12K
Love Me,Romance,1h 31m,5.2,N/A
Someone Like You,Romance,1h 58m,5.8,2K
Upgraded,Romance,1h 44m,6.1,29K
Boot Camp,Romance,1h 34m,5.8,1K
La Cocina,Romance,2h 19m,7.2,N/A
Lisa Frankenstein,Romance,1h 41m,6.1,28K
We're All Gonna Die,Romance,1h 50m,8.4,79
The Tearsmith,Romance,1h 43m,5.2,12K
Touch,Romance,2h 1m,7.4,N/A
Mother of the Bride,Romance,1h 28m,4.8,17K
Die Alone,Romance,1h 31m,5.7,N/A
Girl Haunts Boy,Romance,1h 40m,6.3,N/A
Mon Potongo,Romance,2h 29m,6.7,131
Lilies Not for Me,Romance,1h 39m,7.8,75
Irish Wish,Romance,1h 33m,5.2,21K
Chosen Family,Romance,1h 28m,4.6,259
Winter Spring Summer or Fall,Romance,1h 37m,6.5,394
Players,Romance,1h 45m,5.7,12K
Swap,Romance,1h 26m,2.9,328
Our Little Secret,Romance,1h 41m,5.7,23K
Five Blind Dates,Romance,1h 23m,5.1,N/A
The Dead Thing,Romance,1h 34m,4.7,811
Ask Me What You Want,Romance,1h 54m,3.6,312
My Favourite Cake,Romance,1h 37m,7.4,N/A
Grand Tour,Romance,2h 8m,6.5,N/A
Girls Will Be Girls,Romance,1h 58m,7.1,N/A
The Best Christmas Pageant Ever,Romance,1h 39m,6.8,6K
Lick,Romance,1h 15m,6.3,720
Turn Me On,Romance,1h 39m,5.6,437
