Movie Name,Genre,Duration,Rating,Vote Counts
The Substance,sci-fi,2h 21m,7.3,280K
Sonic the Hedgehog 3,sci-fi,1h 50m,6.9,52K
Venom: The Last Dance,sci-fi,1h 50m,6.0,107K
The Wild Robot,sci-fi,1h 42m,8.2,152K
Dune: Part Two,sci-fi,2h 46m,8.5,613K
Elevation,sci-fi,1h 31m,5.6,20K
Furiosa: A Mad Max Saga,sci-fi,2h 28m,7.5,280K
Deadpool & Wolverine,sci-fi,2h 8m,7.6,480K
The Day the Earth Blew Up: A Looney Tunes Movie,sci-fi,1h 31m,7.0,2K
Borderlands,sci-fi,1h 41m,4.7,45K
The Life of Chuck,sci-fi,1h 50m,7.7,460
Alien: Romulus,sci-fi,1h 59m,7.1,238K
Subservience,sci-fi,1h 46m,5.4,26K
Despicable Me 4,sci-fi,1h 34m,6.2,62K
Megalopolis,sci-fi,2h 18m,4.7,34K
Kingdom of the Planet of the Apes,sci-fi,2h 25m,6.9,149K
Transformers One,sci-fi,1h 44m,7.6,47K
A Quiet Place: Day One,sci-fi,1h 39m,6.3,145K
It's What's Inside,sci-fi,1h 43m,6.6,41K
Ghostbusters: Frozen Empire,sci-fi,1h 55m,6.1,92K
Caddo Lake,sci-fi,1h 43m,6.8,40K
Madame Web,sci-fi,1h 56m,4.0,99K
Godzilla x Kong: The New Empire,sci-fi,1h 55m,6.1,119K
Wallace & Gromit: Vengeance Most Fowl,sci-fi,1h 22m,7.5,33K
Distant,sci-fi,1h 27m,5.7,3K
Y2K,sci-fi,1h 31m,4.9,N/A
The Shrouds,sci-fi,1h 59m,5.8,735
Spaceman,sci-fi,1h 47m,5.7,42K
Uglies,sci-fi,1h 40m,4.7,32K
The Assessment,sci-fi,1h 49m,7.2,456
Arcadian,sci-fi,1h 32m,5.5,22K
Apocalypse Z: The Beginning of the End,sci-fi,1h 57m,6.1,19K
Kalki 2898 AD,sci-fi,3h,N/A,N/A
Slingshot,sci-fi,1h 48m,5.7,N/A
Time Cut,sci-fi,1h 31m,5.0,18K
The Silent Planet,sci-fi,1h 35m,4.8,179
The Empire,sci-fi,1h 50m,5.2,N/A
